"","season","player_id","player","player_first_name","player_last_name","position","snaps","first_season_in_league","year_in_league","season_count","franchise_id","team","waa"
"329",2021,40384,"Shai Werts","Shai","Werts","WR",175,2016,6,5,210,"Louisville Cardinals",-0.043
"330",2021,77969,"Tyler Harrell","Tyler","Harrell","WR",374,2018,4,3,210,"Louisville Cardinals",0.094
"331",2021,99248,"Trey Palmer","Trey","Palmer","WR",389,2019,3,2,211,"LSU Tigers",-0.06
"332",2021,98556,"Jayden Harrison","Jayden","Harrison","WR",253,2019,3,2,214,"Marshall Thundering Herd",0.096
"333",2021,61413,"Carlos Carriere","Carlos","Carriere","WR",391,2017,5,4,215,"Maryland Terrapins",-0.003
"334",2021,84286,"Darryl Jones","Darryl","Jones","WR",366,2018,4,3,215,"Maryland Terrapins",-0.003
"335",2021,97422,"Dino Tomlin","Dino","Tomlin","WR",70,2019,3,2,215,"Maryland Terrapins",-0.024
"336",2021,84529,"Rico Arnold","Rico","Arnold","WR",375,2018,4,3,216,"Massachusetts Minutemen",-0.002
"337",2021,104919,"Isaac Ross","Isaac","Ross","WR",86,2019,3,2,216,"Massachusetts Minutemen",-0.051
"338",2021,78014,"Mark Pope","Mark","Pope","CB",12,2018,4,3,220,"Miami (FL) Hurricanes",-0.003
"339",2021,101696,"George Johnson III","George","Johnson III","CB",25,2019,3,2,222,"Michigan Wolverines",-0.002
"340",2021,129807,"Maliq Carr","Maliq","Carr","TE",155,2020,2,1,223,"Michigan State Spartans",0.061
"341",2021,89497,"Izaiah Gathings","Izaiah","Gathings","WR",409,2018,4,3,224,"Middle Tennessee Blue Raiders",0.005
"342",2021,99209,"Dylan Wright","Dylan","Wright","WR",226,2019,3,2,225,"Minnesota Golden Gophers",0.121
"343",2021,42095,"Jahcour Pearson","Jahcour","Pearson","WR",563,2016,6,5,226,"Mississippi Rebels",-0.079
"344",2021,83710,"Tylan Knight","Tylan","Knight","CB",255,2018,4,3,226,"Mississippi Rebels",-0.085
"345",2021,61807,"Jamire Calvin","Jamire","Calvin","WR",375,2017,5,4,227,"Mississippi State Bulldogs",-0.077
"346",2021,100647,"Makai Polk","Makai","Polk","WR",878,2019,3,2,227,"Mississippi State Bulldogs",0.046
"347",2021,124173,"Malik Heath","Malik","Heath","WR",467,2020,2,1,227,"Mississippi State Bulldogs",-0.082
"348",2021,61535,"Chancellor Brewington","Chancellor","Brewington","TE",74,2017,5,4,238,"Nebraska Cornhuskers",0.005
"349",2021,61500,"Daiyan Henley","Daiyan","Henley","LB",676,2017,5,4,239,"Nevada Wolf Pack",0.104
"350",2021,74267,"Melquan Stovall","Melquan","Stovall","WR",618,2019,3,2,239,"Nevada Wolf Pack",-0.061
"351",2021,128232,"Tory Horton","Tory","Horton","WR",503,2020,2,1,239,"Nevada Wolf Pack",0.039
"352",2021,55409,"Emmanuel Logan-Greene","Emmanuel","Logan-Greene","WR",95,2017,5,4,241,"New Mexico Lobos",0.03
