"","season","player_id","offense","receiving"
"249",2021,61705,57.7,58.9
"250",2022,61705,53.2,53.1
"251",2021,61716,43.4,44.1
"252",2022,61716,56.1,56.7
"253",2020,61777,65.5,65.1
"254",2021,61777,53,49.8
"255",2022,61777,71.2,69.6
"256",2020,61793,52,51.4
"257",2021,61793,46.9,46.8
"258",2022,61793,67.8,68.7
"259",2020,61804,68.1,61.8
"260",2021,61804,65.2,64.7
"261",2022,61804,63.1,60
"262",2020,61806,70.3,69.2
"263",2021,61806,57.7,57.2
"264",2022,61806,49.7,51.7
"265",2020,61807,58.5,59.3
"266",2021,61807,57.5,58.6
"267",2022,61807,46.6,46.8
"268",2020,61825,64.8,64.8
"269",2021,61825,70,70.3
"270",2022,61825,58.5,57.4
"271",2020,61842,64.8,62.6
"272",2021,61842,68.3,70.9
"273",2020,62988,61.1,61.4
"274",2021,62988,69.7,70.4
"275",2022,62988,72.6,72.5
"276",2020,63079,62.2,61.6
"277",2022,63079,57.4,57.5
"278",2022,63645,48.5,63.7
"279",2021,63661,54.9,53.7
"280",2022,63661,69.1,68.1
"281",2020,63672,57,56.7
"282",2021,63672,53.8,53.2
"283",2021,63706,57.3,56.2
"284",2022,63706,57.6,57.6
"285",2021,63709,79,73.9
"286",2022,63709,55.4,56.1
"287",2020,64309,74.5,72.4
"288",2021,64309,62,62.7
"289",2020,66724,55.2,55.5
"290",2022,66724,66.4,67.5
"291",2020,70363,54.5,54.5
"292",2022,70363,70.2,68
"293",2020,71345,64.9,64.9
"294",2022,71345,67,65.8
"295",2020,71385,54,54.7
"296",2021,71385,55.2,57
"297",2020,72158,70.1,71
"298",2021,72158,78.8,81.7
"299",2022,72158,66.8,69.2
"300",2020,74267,54.4,54.1
"301",2021,74267,60.7,62.4
"302",2022,74267,57.4,61.8
"303",2020,74298,62.3,62.4
"304",2021,74298,65.4,65.4
"305",2022,74298,64.2,63
"306",2020,74501,54.9,48.4
"307",2021,74501,52,54.4
"308",2022,74501,65.1,64.7
"309",2020,75926,63.2,65.1
"310",2021,75926,69.5,70
"311",2020,75945,60.3,61.7
"312",2021,75945,75.6,76.1
"313",2022,75945,64.3,66.6
"314",2020,75967,67.2,65.9
"315",2021,75967,66.9,67.2
"316",2022,75967,61.9,61.4
"317",2020,76366,64.9,64.7
"318",2021,76366,63.7,57.9
"319",2022,76366,82.3,82
"320",2021,76718,58.5,59.3
"321",2022,76718,50.3,48.6
"322",2020,77742,68.1,62.9
"323",2021,77742,79,85
"324",2022,77742,67,68.5
"325",2020,77951,58.6,56.6
"326",2021,77951,58.2,58.6
"327",2022,77951,49.1,52.9
"328",2020,77953,57.9,58.7
"329",2021,77953,56.2,57.7
"330",2022,77953,52.1,54.8
"331",2020,77955,52.3,51
"332",2021,77955,59.2,61.8
"333",2022,77955,71.6,71.6
"334",2020,77956,49.6,52.3
"335",2021,77956,68.3,66
"336",2022,77956,52.5,53.2
"337",2020,77960,59.6,59.3
"338",2021,77960,54.2,55.5
"339",2022,77960,72,73.5
"340",2020,77969,50.1,57.6
"341",2021,77969,70.4,70.9
"342",2022,77969,60.3,61
"343",2020,77970,70.9,71.7
"344",2021,77970,68.3,69.9
"345",2022,77970,67.7,66.4
"346",2020,77971,74.6,76.1
"347",2021,77971,50.1,48.2
"348",2022,77971,58.5,58.7
"349",2022,77972,57.5,58.6
